category,vehicle-brand,vehicle-model,vehicle-variant,type,recommended-sku,sku-desc.,upsize-sku,alternate-sku1,alternate-sku2,alternate-sku3,,
Motorcycle,Bajaj,KTM RC,250 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,KTM RC,390 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,KTM RC,125 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,Dominar,250 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Hero,Xtreme,200 cc,Rear,104975,130/70R17 ZOOM RAD TL 62H,,,,,,
Motorcycle,Hero,Xpulse,200T,Rear,104975,130/70R17 ZOOM RAD TL 62H,,,,,,
Motorcycle,Yamaha,YZF R15,150 cc,Rear,104975,130/70R17 ZOOM RAD TL 62H,,,,,,
Motorcycle,Bajaj,KTM Duke,200 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM Duke,250 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM Duke,390 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM Duke,125 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,Dominar,400 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Honda,CBR,300R,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Yamaha,YZF R3,YZF R3,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Kawasaki,Ninja,300 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Kawasaki,Ninja,400 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Mahindra,Mojo,300 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Suzuki,Gixxer,250 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,TVS,Apache,RR 310,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM RC,200 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM RC,250 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM RC,390 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,KTM RC,125 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Bajaj,Dominar,250 cc,Front,113494,110/70ZR17 SPORTRAD TL 54W,,104976,,,,
Motorcycle,Royal Enfield,Meteor,350 cc,Front,105726,100/90-19 ZOOM PLUS F TL 57 P,,,,,,
Motorcycle,Honda,Hness,350 cc,Front,105726,100/90-19 ZOOM PLUS F TL 57 P,,,,,,
Motorcycle,Royal Enfield,Meteor,350 cc,Rear,105808,140/70-17 ZOOM PLUS  TL 66P,,106388,101824,106361,,
Motorcycle,Bajaj,Avenger,220 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Bajaj,Avenger,160 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Bajaj,Avenger,150 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Bajaj,Pulsar,150 cc Twin Disc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Bajaj,Pulsar,180 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Bajaj,Pulsar,160 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Bajaj,Pulsar,220 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,TVS,Apache,160 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,TVS,Apache,160 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,TVS,Apache,200 cc,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,TVS,Apache,RTR 160 Hyper Edge,Front,106073,90/90-17 ZOOM X3 F  TL 49P,,106760,,,,
Motorcycle,Hero,Karizma,200 cc,Rear,106202,120/80-18 GRIPP XL TL 62P,,103035,,,,
Motorcycle,Hero,Xpulse,200 cc,Rear,106202,120/80-18 GRIPP XL TL 62P,,103035,,,,
Motorcycle,Royal Enfield,Classic,500 cc,Rear,106202,120/80-18 GRIPP XL TL 62P,,103035,,,,
Motorcycle,Royal Enfield,Thunderbird,500 cc,Rear,106202,120/80-18 GRIPP XL TL 62P,,103035,,,,
Motorcycle,Royal Enfield,Interceptor,650 cc,Front,106205,100/90-18 ZOOM CRUZ F TT 56H,,106360,,,,
Motorcycle,Royal Enfield,Continental GT,650 cc,Front,106205,100/90-18 ZOOM CRUZ F TT 56H,,106360,,,,
Motorcycle,Royal Enfield,Interceptor,650 cc,Rear,106206,130/70-18 ZOOM CRUZ TT 63H,,,,,,
Motorcycle,Royal Enfield,Continental GT,650 cc,Rear,106206,130/70-18 ZOOM CRUZ TT 63H,,,,,,
Motorcycle,Bajaj,Platina,110 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Discover,150 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Pulsar,125 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Pulsar,150 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Pulsar,AS 160 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Pulsar,NS 160 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Hero,Ignitor,125 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Honda,CBF Stunner,125 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Honda,CB Twister,125 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Honda,Trigger,100 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Honda,Unicorn,160 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Honda,Xblade,160 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Pulsar,NS 125 cc,Front,106207,80/100-17 ZOOM X3 F TL 46P,,105169,106501,106517,,
Motorcycle,Bajaj,Avenger,220 cc,Rear,106209,130/90-15 ZOOM X3 TL 66P,,,,,,
Motorcycle,Bajaj,Avenger,160 cc,Rear,106209,130/90-15 ZOOM X3 TL 66P,,,,,,
Motorcycle,Bajaj,Avenger,150 cc,Rear,106209,130/90-15 ZOOM X3 TL 66P,,,,,,
Motorcycle,Jawa,Perak,350 cc,Front,106360,100/90-18 ZOOM CRUZ F  56 H TL,,,,,,
Motorcycle,Jawa,Perak,350 cc,Rear,106361,140/70-17 ZOOM CRUZ 66 H TL,,106388,101824,105808,,
Motorcycle,Royal Enfield,Classic,350 cc,Rear,106718,110/90-18 GRIPP XL TT 61P,,103034,,,,
